game,name_ko_game,char_id,name_ko,name_en,route_en,rank,rarity_label,element,weapon_or_path,is_playable_avatar,release_unix,release_date,n_battlesuits,best_rank,latest_s_battlesuit
genshin,원신,10000002,카미사토 아야카,,Kamisato Ayaka,5,5성,Ice,WEAPON_SWORD_ONE_HAND,False,1626814800.0,2021-07-20T21:00:00+00:00,,,
genshin,원신,10000003,진,,Jean,5,5성,Wind,WEAPON_SWORD_ONE_HAND,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000006,리사,,Lisa,4,4성,Electric,WEAPON_CATALYST,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000014,바바라,,Barbara,4,4성,Water,WEAPON_CATALYST,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000015,케이아,,Kaeya,4,4성,Ice,WEAPON_SWORD_ONE_HAND,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000016,다이루크,,Diluc,5,5성,Fire,WEAPON_CLAYMORE,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000020,레이저,,Razor,4,4성,Electric,WEAPON_CLAYMORE,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000021,엠버,,Amber,4,4성,Fire,WEAPON_BOW,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000022,벤티,,Venti,5,5성,Wind,WEAPON_BOW,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000023,향릉,,Xiangling,4,4성,Fire,WEAPON_POLE,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000024,북두,,Beidou,4,4성,Electric,WEAPON_CLAYMORE,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000025,행추,,Xingqiu,4,4성,Water,WEAPON_SWORD_ONE_HAND,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000026,소,,Xiao,5,5성,Wind,WEAPON_POLE,False,1612216800.0,2021-02-01T22:00:00+00:00,,,
genshin,원신,10000027,응광,,Ningguang,4,4성,Rock,WEAPON_CATALYST,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000029,클레,,Klee,5,5성,Fire,WEAPON_CATALYST,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000030,종려,,Zhongli,5,5성,Rock,WEAPON_POLE,False,1606874400.0,2020-12-02T02:00:00+00:00,,,
genshin,원신,10000031,피슬,,Fischl,4,4성,Electric,WEAPON_BOW,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000032,베넷,,Bennett,4,4성,Fire,WEAPON_SWORD_ONE_HAND,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000033,타르탈리아,,Tartaglia,5,5성,Water,WEAPON_BOW,False,1605060000.0,2020-11-11T02:00:00+00:00,,,
genshin,원신,10000034,노엘,,Noelle,4,4성,Rock,WEAPON_CLAYMORE,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000035,치치,,Qiqi,5,5성,Ice,WEAPON_SWORD_ONE_HAND,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000036,중운,,Chongyun,4,4성,Ice,WEAPON_CLAYMORE,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000037,감우,,Ganyu,5,5성,Ice,WEAPON_BOW,False,1610467200.0,2021-01-12T16:00:00+00:00,,,
genshin,원신,10000038,알베도,,Albedo,5,5성,Rock,WEAPON_SWORD_ONE_HAND,False,1608588000.0,2020-12-21T22:00:00+00:00,,,
genshin,원신,10000039,디오나,,Diona,4,4성,Ice,WEAPON_BOW,False,1605060000.0,2020-11-11T02:00:00+00:00,,,
genshin,원신,10000041,모나,,Mona,5,5성,Water,WEAPON_CATALYST,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000042,각청,,Keqing,5,5성,Electric,WEAPON_SWORD_ONE_HAND,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000043,설탕,,Sucrose,4,4성,Wind,WEAPON_CATALYST,False,1601244000.0,2020-09-27T22:00:00+00:00,,,
genshin,원신,10000044,신염,,Xinyan,4,4성,Fire,WEAPON_CLAYMORE,False,1606874400.0,2020-12-02T02:00:00+00:00,,,
genshin,원신,10000045,로자리아,,Rosaria,4,4성,Ice,WEAPON_POLE,False,1617721200.0,2021-04-06T15:00:00+00:00,,,
genshin,원신,10000046,호두,,Hu Tao,5,5성,Fire,WEAPON_POLE,False,1614700800.0,2021-03-02T16:00:00+00:00,,,
genshin,원신,10000047,카에데하라 카즈하,,Kaedehara Kazuha,5,5성,Wind,WEAPON_SWORD_ONE_HAND,False,1624978800.0,2021-06-29T15:00:00+00:00,,,
genshin,원신,10000048,연비,,Yanfei,4,4성,Fire,WEAPON_CATALYST,False,1619470800.0,2021-04-26T21:00:00+00:00,,,
genshin,원신,10000049,요이미야,,Yoimiya,5,5성,Fire,WEAPON_BOW,False,1628607600.0,2021-08-10T15:00:00+00:00,,,
genshin,원신,10000050,토마,,Thoma,4,4성,Fire,WEAPON_POLE,False,1635868800.0,2021-11-02T16:00:00+00:00,,,
genshin,원신,10000051,유라,,Eula,5,5성,Ice,WEAPON_CLAYMORE,False,1621350000.0,2021-05-18T15:00:00+00:00,,,
genshin,원신,10000052,라이덴 쇼군,,Raiden Shogun,5,5성,Electric,WEAPON_POLE,False,1630443600.0,2021-08-31T21:00:00+00:00,,,
genshin,원신,10000053,사유,,Sayu,4,4성,Wind,WEAPON_CLAYMORE,False,1628607600.0,2021-08-10T15:00:00+00:00,,,
genshin,원신,10000054,산고노미야 코코미,,Sangonomiya Kokomi,5,5성,Water,WEAPON_CATALYST,False,1632236400.0,2021-09-21T15:00:00+00:00,,,
genshin,원신,10000055,고로,,Gorou,4,4성,Rock,WEAPON_BOW,False,1639497600.0,2021-12-14T16:00:00+00:00,,,
genshin,원신,10000056,쿠죠 사라,,Kujou Sara,4,4성,Electric,WEAPON_BOW,False,1630443600.0,2021-08-31T21:00:00+00:00,,,
genshin,원신,10000057,아라타키 이토,,Arataki Itto,5,5성,Rock,WEAPON_CLAYMORE,False,1639497600.0,2021-12-14T16:00:00+00:00,,,
genshin,원신,10000058,야에 미코,,Yae Miko,5,5성,Electric,WEAPON_CATALYST,False,1644962400.0,2022-02-15T22:00:00+00:00,,,
genshin,원신,10000059,시카노인 헤이조,,Shikanoin Heizou,4,4성,Wind,WEAPON_CATALYST,False,1657659600.0,2022-07-12T21:00:00+00:00,,,
genshin,원신,10000060,야란,,Yelan,5,5성,Water,WEAPON_BOW,False,1653944400.0,2022-05-30T21:00:00+00:00,,,
genshin,원신,10000061,키라라,,Kirara,4,4성,Grass,WEAPON_SWORD_ONE_HAND,False,1684789200.0,2023-05-22T21:00:00+00:00,,,
genshin,원신,10000062,에일로이,,Aloy,5,5성,Ice,WEAPON_BOW,False,1630443600.0,2021-08-31T21:00:00+00:00,,,
genshin,원신,10000063,신학,,Shenhe,5,5성,Ice,WEAPON_POLE,False,1641333600.0,2022-01-04T22:00:00+00:00,,,
genshin,원신,10000064,운근,,Yun Jin,4,4성,Rock,WEAPON_POLE,False,1641333600.0,2022-01-04T22:00:00+00:00,,,
