title,date,end_date,n_members,n_days,members,doc_freq,reason
모라하지마,2026-05-20,2026-05-25,7,5,강지|네네코 마시로|아라하시 타비|아오쿠모 린|유즈하 리코|텐코 시부키|하나코 나나,0.0105,
팰월드,2026-07-13,2026-07-21,7,6,네네코 마시로|사키하네 후야|아오쿠모 린|아카네 리제|유즈하 리코|텐코 시부키|하나코 나나,0.0126,
멋사,2025-12-21,2026-01-05,6,10,시라유키 히나|아라하시 타비|아오쿠모 린|유즈하 리코|텐코 시부키|하나코 나나,0.021,
덕코프,2025-10-23,2025-11-04,5,5,사키하네 후야|아오쿠모 린|아카네 리제|유즈하 리코|텐코 시부키,0.0105,
할로윈,2025-10-31,2025-11-01,5,2,네네코 마시로|사키하네 후야|시라유키 히나|유즈하 리코|하나코 나나,0.0042,
브론즈,2025-11-18,2025-12-01,5,4,네네코 마시로|사키하네 후야|아야츠노 유니|아카네 리제|하나코 나나,0.0084,
RPG,2025-12-10,2025-12-29,5,10,사키하네 후야|아라하시 타비|유즈하 리코|텐코 시부키|하나코 나나,0.0231,
후기,2025-12-21,2025-12-22,5,2,시라유키 히나|아야츠노 유니|아카네 리제|유즈하 리코|하나코 나나,0.0105,
하고,2025-12-22,2026-01-11,5,5,시라유키 히나|아라하시 타비|아오쿠모 린|아카네 리제|유즈하 리코,0.021,
많이,2026-01-30,2026-02-18,5,4,사키하네 후야|아라하시 타비|아오쿠모 린|아카네 리제|하나코 나나,0.0168,
봉봉팜,2026-02-01,2026-02-08,5,7,시라유키 히나|아라하시 타비|아오쿠모 린|유즈하 리코|텐코 시부키,0.0147,
2026,2026-06-12,2026-06-25,5,3,아라하시 타비|아야츠노 유니|아오쿠모 린|유즈하 리코|텐코 시부키,0.0105,
대한민국,2026-06-12,2026-06-25,5,3,강지|아라하시 타비|아오쿠모 린|유즈하 리코|텐코 시부키,0.0063,
봉켓몬,2026-06-22,2026-07-12,5,11,시라유키 히나|아라하시 타비|아오쿠모 린|유즈하 리코|텐코 시부키,0.0231,
여름,2026-08-27,2026-09-02,5,4,시라유키 히나|아라하시 타비|아야츠노 유니|유즈하 리코|텐코 시부키,0.0084,
휴가,2026-08-31,2026-09-02,5,3,시라유키 히나|아라하시 타비|아야츠노 유니|유즈하 리코|텐코 시부키,0.0063,
다피스,2025-08-24,2025-09-07,4,5,강지|아라하시 타비|아야츠노 유니|텐코 시부키,0.0105,
미메시스,2025-11-19,2025-11-22,4,3,네네코 마시로|시라유키 히나|아오쿠모 린|하나코 나나,0.0063,
콘서트,2025-12-18,2025-12-22,4,3,시라유키 히나|아카네 리제|유즈하 리코|하나코 나나,0.0294,
공책,2025-12-21,2025-12-28,4,8,사키하네 후야|시라유키 히나|아라하시 타비|텐코 시부키,0.0168,
크리스마스,2025-12-25,2025-12-26,4,2,시라유키 히나|아야츠노 유니|텐코 시부키|하나코 나나,0.0042,
시상식,2026-01-01,2026-01-04,4,2,네네코 마시로|시라유키 히나|유즈하 리코|텐코 시부키,0.0042,
오브,2026-01-03,2026-01-04,4,2,아오쿠모 린|유즈하 리코|텐코 시부키|하나코 나나,0.0147,
스위치,2026-01-03,2026-01-04,4,2,아오쿠모 린|유즈하 리코|텐코 시부키|하나코 나나,0.0042,
라이프,2026-01-03,2026-01-04,4,2,아오쿠모 린|유즈하 리코|텐코 시부키|하나코 나나,0.0042,
닌텐도,2026-01-03,2026-01-04,4,2,아오쿠모 린|유즈하 리코|텐코 시부키|하나코 나나,0.0042,
3주년,2026-01-09,2026-01-13,4,3,시라유키 히나|아야츠노 유니|아오쿠모 린|유즈하 리코,0.0126,
하코런,2026-01-15,2026-01-26,4,7,시라유키 히나|아라하시 타비|아야츠노 유니|아카네 리제,0.0147,
페이트,2026-01-18,2026-01-25,4,4,사키하네 후야|아라하시 타비|아야츠노 유니|유즈하 리코,0.0084,
오픈런,2026-02-14,2026-02-22,4,2,시라유키 히나|아라하시 타비|아카네 리제|텐코 시부키,0.0105,
새해,2026-02-15,2026-02-19,4,4,사키하네 후야|아라하시 타비|아오쿠모 린|하나코 나나,0.0126,
포코피아,2026-03-05,2026-03-06,4,2,사키하네 후야|아라하시 타비|텐코 시부키|하나코 나나,0.0042,
포탈,2026-03-16,2026-04-04,4,4,시라유키 히나|아라하시 타비|아카네 리제|하나코 나나,0.0084,
조금,2026-03-19,2026-04-04,4,4,사키하네 후야|아오쿠모 린|유즈하 리코|하나코 나나,0.0189,
배그,2026-04-01,2026-04-04,4,2,아오쿠모 린|유즈하 리코|텐코 시부키|하나코 나나,0.0147,
프래그마타,2026-04-17,2026-05-07,4,5,사키하네 후야|시라유키 히나|아오쿠모 린|아카네 리제,0.0126,
세피리아,2026-08-03,2026-08-10,4,3,사키하네 후야|아라하시 타비|아오쿠모 린|텐코 시부키,0.0063,
설명회,2026-08-15,2026-08-21,4,3,시라유키 히나|아야츠노 유니|텐코 시부키|하나코 나나,0.0168,
